title,href
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://n.news.naver.com/mnews/article/037/0000037818?sid=101
"넥써쓰-데브 스트림 랩스, AI로 게임사 웹3 진출 돕는다",https://n.news.naver.com/mnews/article/003/0013820616?sid=105
"한성숙 중기장관, LG생산기술원서 상생형 AI 스마트제조 점검",https://n.news.naver.com/mnews/article/001/0015957580?sid=101
포토샵도 필요 없는 시대…AI 압박 속 어도비 CEO 사임,https://n.news.naver.com/mnews/article/015/0005261832?sid=104
포천 농가서 AI 항원 검출…닭 4만5000마리 예방적 살처분,https://n.news.naver.com/mnews/article/015/0005261933?sid=102
"엔비디아, 에이전트 특화 개방형AI 새모델 공개…""AI 새 전환점""",https://n.news.naver.com/mnews/article/001/0015953462?sid=104
"[단독] 산업연구원 “AI발 고용 충격, 지진처럼 급작스럽게 발현할 수도...",https://n.news.naver.com/mnews/article/028/0002795795?sid=102
"""보험사는 사악해"" ""대표한테 총을…"" 폭력 부추기는 AI챗봇",https://n.news.naver.com/mnews/article/001/0015954241?sid=104
"""AI 못하면 뒤처진다""…중진공, 중소기업 AX 전환 본격 지원",https://n.news.naver.com/mnews/article/015/0005261603?sid=101
"윈스테크넷, 생성형 AI 보안솔루션 'SNIPER AIVAX' 출시",https://n.news.naver.com/mnews/article/003/0013820578?sid=101
