title,href
안양시 ‘피지컬 AI 산업’ 육성 본격화,https://n.news.naver.com/mnews/article/015/0005262061?sid=102
"한컴, 오픈데이터로더 PDF v2.0 공개…문서 AI 시장 공략 박차",https://n.news.naver.com/mnews/article/092/0002414102?sid=105
"경남정보대·마산대·춘해보건대, AI·DX 인재 양성 위해 맞손",https://n.news.naver.com/mnews/article/421/0008824588?sid=102
"KB금융, ‘그룹 정보보호협의회’ 개최…AI 시대 금융보안 리스크 선제...",https://n.news.naver.com/mnews/article/243/0000094442?sid=101
"헥토그룹, 채용 연계 AI 경진대회 성료",https://n.news.naver.com/mnews/article/003/0013816721?sid=101
"진천군, AI·XR 기술 활용해 은둔형 학교 밖 청소년 지원",https://n.news.naver.com/mnews/article/001/0015956869?sid=102
'AI+물고기 실험' 결합해 난청부작용 억제 후보약물 발굴,https://n.news.naver.com/mnews/article/421/0008824123?sid=105
2조원 규모 국가 GPU 확충 닻 올렸다…'AI 고속도로' 시동,https://n.news.naver.com/mnews/article/092/0002414146?sid=105
류긍선 카카오모빌리티 대표 “피지컬AI 기술 기업으로 도약” 선언,https://n.news.naver.com/mnews/article/016/0002613039?sid=105
"""AI 종목 투자하면 고수익"" 20억 가로챈 수거책 구속",https://n.news.naver.com/mnews/article/003/0013817161?sid=102
