title,href
"과기정통·산업·중기부, 4320억 규모 AI전환 사업 통합 공고",https://n.news.naver.com/mnews/article/003/0013817590?sid=105
SW 개발 3년→40일…에이전틱 AI가 바꾸는 산업 지도,https://n.news.naver.com/mnews/article/001/0015957511?sid=105
"한솔PNS, 'AW 2026' 참가…제조산업 특화 AI 플랫폼 소개",https://n.news.naver.com/mnews/article/001/0015956547?sid=105
"정재헌 SKT CEO ""통신사 넘어 AI 인프라 설계자로""",https://n.news.naver.com/mnews/article/001/0015956991?sid=105
"류긍선 카카오모빌리티 대표 ""피지컬 AI 기반 기업으로 도약""",https://n.news.naver.com/mnews/article/421/0008824068?sid=101
"[특징주] 크래프톤, 한화에어로와 피지컬AI 합작사 추진에 강세",https://n.news.naver.com/mnews/article/001/0015956843?sid=101
"[특징주] 크래프톤, 한화에어로와 피지컬AI 합작사 추진에 8% 상승(종합...",https://n.news.naver.com/mnews/article/001/0015957780?sid=101
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://n.news.naver.com/mnews/article/003/0013819928?sid=102
"[AI픽] 세미파이브, 180억 규모 차세대 AI칩 개발 수주",https://n.news.naver.com/mnews/article/001/0015957638?sid=105
"파운데이션 모델 경쟁 접은 NC AI, 게임 시장 공략…'산업 AI'로 승부 건...",https://n.news.naver.com/mnews/article/092/0002414251?sid=105
